DATAH,SECONDS,NANOSECONDS,NDX,DIAG,REMARK,DATE,TIME,H2O,CO2,CH4,CAVITY_P,CAVITY_T,LASER_PHASE_P,LASER_T,RESIDUAL,RING_DOWN_TIME,THERMAL_ENCLOSURE_T,PHASE_ERROR,LASER_T_SHIFT,INPUT_VOLTAGE,CHK
DATAU,secs,nsecs,index,diag,,date,time,ppm,ppm,ppb,kPa,°C,kPa,°C,,µsecs,°C,counts,°C,V,CHK
DATA,1775750646,851054906,597,16,,4/9/2026,11:04:06,17366.443,440.65213,2161.2039,39.2812,54.8726,29.0609,40.2836,0.00696855,11.3937,54.4281,-3.25,0.53542,14.5071,36
DATA,1775750647,850723981,601,16,,4/9/2026,11:04:07,17309.428,441.52802,2161.019,39.2808,54.874,29.0634,40.2836,0.00694127,11.3943,54.4287,96.25,0.53542,14.5059,199
DATA,1775750648,850723981,605,16,,4/9/2026,11:04:08,17288.234,442.28613,2160.6526,39.2804,54.8755,29.0667,40.2836,0.00690355,11.3934,54.4291,191.75,0.53542,14.5067,108
DATA,1775750649,850723981,609,16,,4/9/2026,11:04:09,17341.965,442.069,2160.1357,39.2816,54.8771,29.0705,40.2836,0.00689803,11.3935,54.4298,28.5,0.53542,14.5075,170
DATA,1775750650,850723981,613,16,,4/9/2026,11:04:10,17345.49,441.84833,2160.0249,39.282,54.8784,29.0721,40.2836,0.0068828,11.3929,54.4302,101.75,0.53542,14.5035,182
DATA,1775750651,850723981,617,16,,4/9/2026,11:04:11,17305.848,442.29422,2159.5276,39.2837,54.8798,29.0771,40.2836,0.00683001,11.3933,54.431,99.75,0.53542,14.5039,8
DATA,1775750652,850723981,621,16,,4/9/2026,11:04:12,17420.139,439.51343,2159.3281,39.2816,54.8813,29.0792,40.2836,0.00685205,11.3932,54.4314,-48.75,0.53542,14.5047,78
DATA,1775750653,850723981,625,16,,4/9/2026,11:04:13,17332.557,439.76886,2159.3406,39.2816,54.8829,29.0792,40.2836,0.0068288,11.3941,54.4321,56.25,0.53542,14.5051,15
DATA,1775750654,850723981,629,16,,4/9/2026,11:04:14,17294.502,440.42407,2159.0896,39.2812,54.8842,29.0804,40.2836,0.00679196,11.3939,54.4329,54,0.53542,14.5055,165
DATA,1775750655,850394010,633,16,,4/9/2026,11:04:15,17323.859,440.70166,2158.686,39.282,54.8854,29.0808,40.2836,0.00677585,11.3929,54.4335,74.5,0.53542,14.5043,160
DATA,1775750656,850394010,637,16,,4/9/2026,11:04:16,17336.018,439.87494,2158.467,39.2816,54.8867,29.0829,40.2836,0.00676727,11.3933,54.4342,18.25,0.53542,14.5047,20
DATA,1775750657,850394010,641,16,,4/9/2026,11:04:17,17469.658,441.22971,2157.7126,39.2895,54.8881,29.085,40.2836,0.00676775,11.3932,54.4348,195.25,0.53542,14.5043,69
DATA,1775750658,850394010,645,16,,4/9/2026,11:04:18,17903.516,433.22961,2157.178,39.2849,54.8891,29.0871,40.2836,0.00682568,11.3912,54.4356,-77.5,0.53542,14.5051,3
DATA,1775750659,850394010,649,16,,4/9/2026,11:04:19,17965.658,435.4509,2157.9021,39.2837,54.89,29.0829,40.2836,0.0069082,11.3904,54.4362,-51,0.53542,14.5071,6
DATA,1775750660,850394010,653,16,,4/9/2026,11:04:20,17754.773,439.02676,2157.9492,39.2824,54.8904,29.0821,40.2836,0.00685471,11.3908,54.4369,-33.75,0.53542,14.5079,105
