SECONDS,Elapsed_sec,Datetime,Corrected_Datetime,CH4,CH4_ppm,peak_prominence_ppm,peak_height_ppm,peak_over_100ppm,peak_rank_by_ch4,nearest_image_id,nearest_image_file,nearest_image_datetime,nearest_image_timestamp_source,nearest_image_path,nearest_image_delta_seconds,nearest_image_abs_delta_seconds,nearest_image_relation
1775751539,952,2026-04-09 11:18:59,2026-04-09 11:20:15,2788.7397,2.7887397000000003,0.6853864000000001,2.7887397000000003,False,37,35,35_2026-04-09_11-19-57.HEIC,2026-04-09 11:19:57,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/35_2026-04-09_11-19-57.HEIC,-18.0,18.0,before
1775751156,569,2026-04-09 11:12:36,2026-04-09 11:13:52,2705.2854,2.7052854,0.5835479000000001,2.7052854,False,38,29,29_2026-04-09_11-13-34.HEIC,2026-04-09 11:13:34,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/29_2026-04-09_11-13-34.HEIC,-18.0,18.0,before
1775751109,522,2026-04-09 11:11:49,2026-04-09 11:13:05,2700.5896,2.7005896,0.5768958,2.7005896,False,39,24,24_2026-04-09_11-13-19.HEIC,2026-04-09 11:13:19,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/24_2026-04-09_11-13-19.HEIC,14.0,14.0,after
1775751246,659,2026-04-09 11:14:06,2026-04-09 11:15:22,2686.4258,2.6864258,0.5821673,2.6864258,False,40,30,30_2026-04-09_11-15-26.HEIC,2026-04-09 11:15:26,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/30_2026-04-09_11-15-26.HEIC,4.0,4.0,after
1775751124,537,2026-04-09 11:12:04,2026-04-09 11:13:20,2682.4192,2.6824192,0.4266848000000003,2.6824192,False,41,24,24_2026-04-09_11-13-19.HEIC,2026-04-09 11:13:19,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/24_2026-04-09_11-13-19.HEIC,-1.0,1.0,before
1775751168,581,2026-04-09 11:12:48,2026-04-09 11:14:04,2632.9524,2.6329524,0.4190381000000003,2.6329524,False,42,29,29_2026-04-09_11-13-34.HEIC,2026-04-09 11:13:34,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/29_2026-04-09_11-13-34.HEIC,-30.0,30.0,before
1775751311,724,2026-04-09 11:15:11,2026-04-09 11:16:27,2557.8872,2.5578872,0.45526219999999995,2.5578872,False,43,30,30_2026-04-09_11-15-26.HEIC,2026-04-09 11:15:26,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/30_2026-04-09_11-15-26.HEIC,-61.0,61.0,before
1775751533,946,2026-04-09 11:18:53,2026-04-09 11:20:09,2551.2864,2.5512864,0.17086920000000028,2.5512864,False,44,35,35_2026-04-09_11-19-57.HEIC,2026-04-09 11:19:57,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/35_2026-04-09_11-19-57.HEIC,-12.0,12.0,before
1775751191,604,2026-04-09 11:13:11,2026-04-09 11:14:27,2548.5637,2.5485637000000003,0.29705490000000045,2.5485637000000003,False,45,29,29_2026-04-09_11-13-34.HEIC,2026-04-09 11:13:34,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/29_2026-04-09_11-13-34.HEIC,-53.0,53.0,before
1775750802,215,2026-04-09 11:06:42,2026-04-09 11:07:58,2525.3994,2.5253994,0.41141939999999977,2.5253994,False,46,18,18_2026-04-09_11-05-59.HEIC,2026-04-09 11:05:59,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/18_2026-04-09_11-05-59.HEIC,-119.0,119.0,before
1775751114,527,2026-04-09 11:11:54,2026-04-09 11:13:10,2508.6184,2.5086184,0.3638710999999999,2.5086184,False,47,24,24_2026-04-09_11-13-19.HEIC,2026-04-09 11:13:19,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/24_2026-04-09_11-13-19.HEIC,9.0,9.0,after
1775751262,675,2026-04-09 11:14:22,2026-04-09 11:15:38,2498.4348,2.4984348,0.3940585999999997,2.4984348,False,48,30,30_2026-04-09_11-15-26.HEIC,2026-04-09 11:15:26,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/30_2026-04-09_11-15-26.HEIC,-12.0,12.0,before
